latin_name,common_name,korean_name,HANJA,chinese_name,pinyin,JAPANESE,KANJI
Digitalis Folium,Digitalis Leaf,양지황,洋地黃,,,,
Dioscorea Bulbifera Rhizoma,,황약자,黃藥子,黄药子,,,
Dioscorea Panthaicae Rhizoma,,황산약,黃山藥,黄山药,Huangshanyao,,
Dioscoreae Hypoglaucae Rhizoma,,분비해,粉萆薢,粉萆薢,Fenbixie,,
Dioscoreae Nipponicae Rhizoma,,천산룡,穿山龍,穿山龙,Chuanshanlong,,
Dioscoreae Rhizoma,Dioscorea Rhizome,산약,山藥,山药,Shanyao,サンヤク,山薬
Dioscoreae Spongiosae Rhizoma,,면비해,綿萆薢,绵萆薢,Mianbixie,,
Dipsaci Radix,,속단,續斷,续断,Xuduan,,
Dolichoris Semen,Dolichos Seed,백편두,白扁豆,白扁豆,Baibiandou,ヘンズ,扁豆
Draconis Sanguis,,혈갈,血竭,血竭,Xuejie,,
Drynariae Rhizoma,Drynaria Rhizome,골쇄보,骨碎補,骨碎补,Gusuibu,,
Dryopteridis Crassirhizomatis Rhizoma,,관중,貫衆,绵马贯众,Mianmaguanzhong,,
Echinopsis Radix,,우주누로,禹州漏蘆,禹州漏芦,Yuzhouloulu,,
Ecliptae Herba,,한련초,旱蓮草,墨旱莲,Mohanlian,,
Elsholtziae Herba,,향유,香薷,香薷,Xiangru,,
Entadae Semen,,합등자,榼藤子,榼藤子,Ketengzi,,
Ephedrae Herba,Ephedra Herb,마황,麻黃,麻黄,Mahuang,マオウ,麻黄
Ephedrae Radix,,마황근,麻黃根,麻黄根,Mahuanggen,,
Epimedii Herba,Epimedium Herb,음양곽,淫羊藿,淫羊藿 巫山淫羊藿,Yinyanghuo Wushan Yinyanghuo,インヨウカク,淫羊藿
Equiseti Herba,,목적,木賊,木贼,Muzei,,
Erigerontis Herba,,등잔세신,燈盞細辛,灯盏细辛,Dengzhanxixin,,
